scenario_id,target_name,pair_type,component_i,component_j,family_i,family_j,batch_i,batch_j,proxy_score,gate,attention,pair_strength,target_true
train_48,viscosity,antiwear_ca_mg,Базовое_масло_10,Противоизносная_присадка_14,Базовое,Противоизносная,01667.22,COMP-2022-0042-M,0.021606065332889557,0.0639803558588028,0.27620452642440796,1.2226390838623047,5.59
train_48,viscosity,antiwear_ca_mg,Базовое_масло_13,Противоизносная_присадка_14,Базовое,Противоизносная,0934.22,COMP-2022-0042-M,0.10570289939641953,0.2835337221622467,0.28572314977645874,1.3047784566879272,5.59
train_48,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_14,Базовое,Противоизносная,01767.22,COMP-2022-0042-M,0.0018022960284724832,0.015183116309344769,0.09158281981945038,1.2961379289627075,5.59
train_48,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_14,Базовое,Противоизносная,01600.22,COMP-2022-0042-M,0.47944942116737366,0.5097671747207642,0.34648948907852173,2.7144439220428467,5.59
train_49,viscosity,antiwear_ca_mg,Базовое_масло_10,Противоизносная_присадка_13,Базовое,Противоизносная,01667.22,образец,0.3113873600959778,0.6755775213241577,0.27466657757759094,1.6781082153320312,-19.33
train_49,viscosity,antiwear_ca_mg,Базовое_масло_13,Противоизносная_присадка_13,Базовое,Противоизносная,0934.22,образец,0.18551421165466309,0.5199974775314331,0.21564123034477234,1.6544137001037598,-19.33
train_49,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_13,Базовое,Противоизносная,01767.22,образец,0.16379347443580627,0.47745785117149353,0.1449461132287979,2.3667643070220947,-19.33
train_49,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_13,Базовое,Противоизносная,01600.22,образец,1.1880409717559814,0.83279949426651,0.3647461533546448,3.911111831665039,-19.33
train_50,viscosity,ao_ao,Антиоксидант_7,Антиоксидант_8,Антиоксидант,Антиоксидант,п.EQ2023082507,COMP-2024-0009-M,2.3144590854644775,0.7772900462150574,0.8105466365814209,3.6735706329345703,-12.44
train_50,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_11,Детергент,Противоизносная,0269.25,0242.25,0.08179539442062378,0.7973604202270508,0.028292056173086166,3.6258482933044434,-12.44
train_50,viscosity,zddp_detergent,Детергент_9,Противоизносная_присадка_11,Детергент,Противоизносная,0241.25,0242.25,0.4907382130622864,0.7137421369552612,0.16116128861904144,4.266264915466309,-12.44
train_51,viscosity,ao_ao,Антиоксидант_7,Антиоксидант_8,Антиоксидант,Антиоксидант,п.EQ2023082507,COMP-2024-0009-M,2.0550222396850586,0.6593513488769531,0.8754963278770447,3.5599615573883057,-8.49
train_51,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_11,Детергент,Противоизносная,0269.25,0242.25,0.10335583239793777,0.8156151175498962,0.030940594151616096,4.095633506774902,-8.49
train_51,viscosity,zddp_detergent,Детергент_9,Противоизносная_присадка_11,Детергент,Противоизносная,0241.25,0242.25,0.3311881422996521,0.7464123368263245,0.09356308728456497,4.742325782775879,-8.49
train_52,viscosity,ao_ao,Антиоксидант_5,Антиоксидант_6,Антиоксидант,Антиоксидант,32,нет номера у образца,5.682457776856609e-05,0.018378473818302155,0.002337005455046892,1.3230220079421997,-10.35
train_52,viscosity,ao_mo,Антиоксидант_5,Соединение_молибдена_2,Антиоксидант,Соединение,32,01762.22,8.124776650220156e-05,0.018787726759910583,0.0015031786169856787,2.8769121170043945,-10.35
train_52,viscosity,ao_mo,Антиоксидант_6,Соединение_молибдена_2,Антиоксидант,Соединение,нет номера у образца,01762.22,0.000177786685526371,0.011794716119766235,0.004097578581422567,3.6786158084869385,-10.35
train_52,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_10,Базовое,Противоизносная,02596.22,02028.22,0.5022211074829102,0.8318902850151062,0.12123395502567291,4.979716777801514,-10.35
train_52,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_10,Базовое,Противоизносная,01939.22,02028.22,3.8248186111450195,0.8567116856575012,0.8703166246414185,5.129781723022461,-10.35
train_52,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_10,Детергент,Противоизносная,0174.22,02028.22,0.00039346233825199306,0.764814019203186,0.00015431342762894928,3.3338310718536377,-10.35
train_52,viscosity,zddp_detergent,Детергент_4,Противоизносная_присадка_10,Детергент,Противоизносная,02623.22,02028.22,0.0004882971988990903,0.5919415354728699,0.0003574046422727406,2.3080501556396484,-10.35
train_53,viscosity,ao_ao,Антиоксидант_5,Антиоксидант_6,Антиоксидант,Антиоксидант,32,нет номера у образца,5.891983528272249e-05,0.018378473818302155,0.002423176309093833,1.3230220079421997,-10.17
train_53,viscosity,ao_mo,Антиоксидант_5,Соединение_молибдена_2,Антиоксидант,Соединение,32,01762.22,8.424355473835021e-05,0.018787726759910583,0.0015586043009534478,2.8769121170043945,-10.17
train_53,viscosity,ao_mo,Антиоксидант_6,Соединение_молибдена_2,Антиоксидант,Соединение,нет номера у образца,01762.22,0.0001843420759541914,0.011794716119766235,0.0042486656457185745,3.6786158084869385,-10.17
