model_type,config_id,fold,n_features,rmse,mae,r2,target_name,dataset_name
pls,ncomp_12,5,,43.41569335259976,28.148683561680052,-7.611427156577372,oxidation,compact_v3_full
mlp,relu_small,1,29.0,44.03369133649043,29.852459095959578,-1.8360998366067864,oxidation,oxidation_focus_v2
mlp,relu_small,2,29.0,31.26468999551544,24.24961684670059,0.4341138435570091,oxidation,oxidation_focus_v2
mlp,relu_small,3,28.0,41.3651979779527,36.62599002116416,-0.1785364518903334,oxidation,oxidation_focus_v2
mlp,relu_small,4,29.0,31.574741388011432,22.84001414675883,-0.05190825239300567,oxidation,oxidation_focus_v2
mlp,relu_small,5,30.0,26.867572732205904,18.08498012071652,-2.2979078498974292,oxidation,oxidation_focus_v2
mlp,relu_mid,1,29.0,30.302869212375807,24.042073404258606,-0.34313241375614667,oxidation,oxidation_focus_v2
mlp,relu_mid,2,29.0,28.39572108519645,23.500814322285372,0.5332045442922609,oxidation,oxidation_focus_v2
mlp,relu_mid,3,28.0,48.30793848011146,41.221365666343566,-0.6073476304806638,oxidation,oxidation_focus_v2
mlp,relu_mid,4,29.0,26.960801026082144,20.347538609811252,0.23305567107401337,oxidation,oxidation_focus_v2
mlp,relu_mid,5,30.0,56.42653628486605,29.985069058145903,-13.546162478609103,oxidation,oxidation_focus_v2
mlp,relu_wide,1,29.0,42.34101146363747,32.93997301655979,-1.6222481285099861,oxidation,oxidation_focus_v2
mlp,relu_wide,2,29.0,36.07569642997049,27.67046492656694,0.24655724063994933,oxidation,oxidation_focus_v2
mlp,relu_wide,3,28.0,38.325557360949055,31.45709706382029,-0.01169537376958285,oxidation,oxidation_focus_v2
mlp,relu_wide,4,29.0,30.417387679930545,22.33609911856485,0.023792625751046792,oxidation,oxidation_focus_v2
mlp,relu_wide,5,30.0,34.19235161126329,23.13277196541643,-4.341209240463283,oxidation,oxidation_focus_v2
mlp,tanh_mid,1,29.0,41.99791951131905,34.2640924735548,-1.579923812307392,oxidation,oxidation_focus_v2
mlp,tanh_mid,2,29.0,30.350114454544062,24.913358341299002,0.4667369620228382,oxidation,oxidation_focus_v2
mlp,tanh_mid,3,28.0,50.797935680875106,44.1125311765959,-0.7773171554497169,oxidation,oxidation_focus_v2
mlp,tanh_mid,4,29.0,29.082021964865987,20.815457631482158,0.10762487841601587,oxidation,oxidation_focus_v2
