feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8
polymer__stability_index_pct__max,-0.0356648193662454,0.050175925089647896,-0.10376964151021695,0.02812158814293007,-0.03183950815020213,0.013414584287495545,-0.013104674185558792,-0.004475719207742728
textnum__detergent__smiles_для_наиболее_вероятной_(средней)_молекулы_сульфокислоты__smiles_hetero_count__wm,-0.09767384370039034,0.005143940499091361,-0.03610876221371935,0.046879267164590656,-0.029265791405364745,-0.016834383725451887,-0.1542731624946333,-0.0672485218236319
textnum__antioxidant__тип_ао__text_length__wm,-0.08225179087456612,-0.09262052828840633,0.023503610586902708,-0.02542488509697176,-0.026176918057111538,-0.03484071561609177,0.03629453101720412,0.1900776324361661
textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,-0.08225179087456612,-0.09262052828840633,0.023503610586902667,-0.025424885096971772,-0.02617691805711156,-0.03484071561609176,0.03629453101720408,0.19007763243616607
textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.08225179087456612,0.09262052828840633,-0.023503610586902646,0.02542488509697175,0.026176918057111594,0.03484071561609169,-0.036294531017204,-0.19007763243616607
family_total_dose__antiwear,-0.08012056075249663,0.061709847528665984,-0.042535380248808485,0.007130136985503767,0.26565393975903717,-0.1395255414639527,0.08164467784662251,-0.06566052040873133
catdose__antiwear__тип_спиртового_радикала__mixed,-0.13307770161819815,0.0713363700792147,0.013723569012217302,-0.22748865787798306,0.07132813610886035,-0.07738085875053664,0.0026820822059163626,-0.0761362736920085
textnum__antioxidant__номер_cas___smiles__cas_count__max,0.08503798284211339,-0.021747668066029117,0.08088177346389432,0.08781352817294293,-0.11452427109172375,0.027702888781130888,0.03667870630609561,0.14176316546774012
catcount__antiwear__тип_спиртового_радикала__mixed,-0.1299793014777544,0.07146655618988391,0.010081641746273113,-0.2279273056340659,0.07565288160604751,-0.07725178206538699,0.00032287681843541123,-0.07309698219593062
base_oil__vi__max,-0.041304891578804195,-0.12103791636003113,0.03291144460916215,0.00866667736884167,-0.11553326470685146,-0.016478829842200643,-0.018618065727018518,0.03981468299268077
antioxidant__bde_xh_kcal__wm,-0.12967159983593832,-0.05391215953886675,-0.08594376954057671,-0.13369065755444612,-0.029155237340527683,0.03438372574217797,0.0486272225162676,0.03292991810479698
detergent__tbn_gost__max,0.004361227307014862,0.03261756910347393,0.0067564777847619545,0.04796503507722709,0.0450971386038439,0.018766612726472655,-0.05978532215445845,-0.06687928389412358
family_component_count__moly,-0.06586925028826304,-0.12319884340979885,0.04029655293305904,0.029123816390118164,0.1141954986160789,0.09397051840254919,0.005951948150663175,-0.03890742845116092
family_present__moly,-0.06586925028826304,-0.12319884340979885,0.04029655293305904,0.029123816390118164,0.1141954986160789,0.09397051840254919,0.005951948150663175,-0.03890742845116092
moly__mo_pct__count,-0.06586925028826304,-0.12319884340979885,0.04029655293305904,0.029123816390118164,0.1141954986160789,0.09397051840254919,0.005951948150663175,-0.03890742845116092
