component,rank,feature,abs_weight,weight,loading
component_8,15,severity_exp,0.1339352571620657,-0.1339352571620657,-0.08295983092984612
component_9,1,base_oil__kv100__wm,0.3590422747376627,0.3590422747376627,0.3742534730899156
component_9,2,family_total_dose__antiwear,0.35743448192882127,-0.35743448192882127,-0.21538514627610564
component_9,3,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.2971111720594764,0.2971111720594764,0.1644222408571315
component_9,4,antiwear__sulfur_pct__wm,0.2959518135320863,0.2959518135320863,0.5669132487424237
component_9,5,antioxidant_balance,0.23135817942927503,-0.23135817942927503,-0.30828499440440327
component_9,6,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,0.23135817942927472,0.23135817942927472,0.3082849944044034
component_9,7,textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,0.23135817942927472,-0.23135817942927472,-0.3082849944044034
component_9,8,detergent__tbn_astm__wm,0.2313188938248949,0.2313188938248949,0.2496276040155624
component_9,9,base_oil__kv40__wm,0.22067903271363268,0.22067903271363268,0.3456615253591664
component_9,10,antioxidant__bde_xh_kcal__wm,0.21929702022710684,-0.21929702022710684,-0.14991047013077263
component_9,11,base_oil_visc_ratio,0.19408264499005368,0.19408264499005368,0.28797691672343784
component_9,12,interaction__biofuel_x_zddp,0.17897590272176966,0.17897590272176966,-0.0018688260669675596
component_9,13,antiwear_severity,0.17815598964561483,-0.17815598964561483,-0.26230481781125387
component_9,14,catcount__base_oil__группа_по_api__1,0.16164177906067081,0.16164177906067081,0.1320079244872476
component_9,15,catalyst_category,0.15263628571341714,0.15263628571341714,0.20637014425221525
component_10,1,antiwear__sulfur_pct__wm,0.4601735996509223,0.4601735996509223,0.2998932155581279
component_10,2,interaction__biofuel_x_zddp,0.28590753938875757,-0.28590753938875757,-0.10445309103181577
component_10,3,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.28463741946014476,-0.28463741946014476,-0.23784006452972026
component_10,4,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.2762181947641947,0.2762181947641947,0.3501282247982647
component_10,5,base_oil__ccs_m35__wm,0.2661065361510172,0.2661065361510172,0.5770982417707787
component_10,6,family_total_dose__antiwear,0.24589248691473825,0.24589248691473825,0.08745623731098229
component_10,7,biofuel_pct,0.23114162499501678,0.23114162499501678,-0.0574918832327645
component_10,8,temperature_x_biofuel,0.20989388372004278,0.20989388372004278,-0.07096988206471777
component_10,9,antiwear__chain_length__wm,0.19756997676665405,-0.19756997676665405,-0.44031207167924324
component_10,10,base_oil__pour_point_c__max,0.1796784941009033,-0.1796784941009033,-0.5086643693905742
component_10,11,textnum__base_oil__происхождение__origin_is_mineral__wm,0.177765905956674,0.177765905956674,0.19186499929177525
component_10,12,regime_load,0.1610006964067183,-0.1610006964067183,-0.3351878854913646
component_10,13,base_oil_visc_ratio,0.16034534524236435,0.16034534524236435,0.18258601614105843
component_10,14,base_oil__kv40__wm,0.14805393338719555,0.14805393338719555,0.13685633968188393
component_10,15,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,0.1413849303562583,0.1413849303562583,0.24656215931158013
component_11,1,catalyst_category,0.42773917579340814,0.42773917579340814,0.5493131657269267
component_11,2,detergent__tbn_astm__wm,0.392236518971214,-0.392236518971214,-0.582826342979051
component_11,3,base_oil__ccs_m35__wm,0.31301730469719075,0.31301730469719075,0.08940126387046438
component_11,4,base_oil__pour_point_c__max,0.2940265730356965,-0.2940265730356965,-0.42197312557143524
component_11,5,biofuel_pct,0.25059607386969895,-0.25059607386969895,-0.24008246682940798
component_11,6,temperature_x_biofuel,0.24424958531642232,-0.24424958531642232,-0.2449868748103029
